x,t
-0.50266283168581438,-0.74933442590067789
0.54320824404396495,0.35241853036061038
-0.29183247279926783,-0.4316131948975126
-0.50394170894471069,-0.29023991468898069
-0.43454155206426115,-0.34615302857617625
0.40359335085544434,-0.31559491462217065
0.5958953944947083,-0.10681913317260239
-0.38554351561960931,-0.40263260690180569
0.39859166433969118,-0.038029762178555193
-0.87499335029860648,-0.40345997084838414
-0.45434968334359571,-0.92774289242114616
0.35081106021572417,0.27567159309785488
-0.5109625009405252,-0.988883197644574
-0.66114542617515915,-0.8413503312594981
-0.20971380044227173,-0.44356110281845818
-0.90628895717965852,-0.82634750586709249
-0.82769352096491189,-1.090295691487486
-0.38700854190951606,-0.36191525610154596
-0.79809469068334193,-0.95192792105944712
0.91196419387681615,0.057277869585416696
